query.prefix,lat,lon
# Geocoding failed but I found them on google maps:
MAISONNEUVE O and ST URBAIN,45.509824, -73.567208
DE MAISONNEUVE and ST URBAIN,45.509824, -73.567208
MAISONNEUVE E and ST DENIS,45.514405, -73.561920
BD MAISONNEUVE and PAPINEAU,45.523239, -73.553796
RACHEL and DE LORIMIER,45.532785, -73.567365
DE MAISONNEUVE and PLESSIS,45.521196, -73.555738
MAISONNEUVE and DE LORIMIER,45.525480, -73.551747
MAISONNEUVE and CITY COUNSELOR,45.505700, -73.570295
MAISONNEUVE O and CITY COUNCILORS,45.505700, -73.570295
DE MAISONNEUVE and CITY COUNCILLORS,45.505700, -73.570295
#not on the maisonneuve bike path:
#MAISONNEUVE and JACQUES CARTIER O,45.506431, -73.477407
#MAISONNEUVE and ROBINSON S,45.403263, -72.742647
MAISONNEUVE and ROBINSON S,NA,NA
MAISONNEUVE and JACQUES CARTIER O,NA,NA
#I couldn't even find these on google maps:
BD MAISONNEUVE and BD DES ALLUMETTIERES,NA,NA
BD MAISONNEUVE and BD DES ALLUMETIERES,NA,NA
BD MAISONNEUVE and BD ALLUMETTIERES,NA,NA
MAISONNEUVE and SIMONDS S,NA,NA
MAISONNEUVE and LAURE,NA,NA
MAISONNEUVE and MAISONNEUVE O,NA,NA
MAISONNEUVE and ,NA,NA